시도,시군구,총인구,면적,인구밀도,인구증가율,고령,생산가능,유소년,고령인구비율,합계출산율,출생아수,합계출산율_2013
서울,강북구,293660.0,23.60041,12207.9668613866,-1.89,68473.0,199053.0,20587.0,23.31710140979364,0.478,826.0,0.963
서울,강서구,569166.0,41.45195,13583.3886469704,-1.07,101808.0,409577.0,51673.0,17.887224465270236,0.545,2635.0,1.032
서울,관악구,486752.0,29.56837,16299.7154706089,-0.99,84762.0,369521.0,27673.0,17.413795937150745,0.394,1489.0,0.825
서울,광진구,337416.0,17.06282,19665.7995591245,-0.55,56461.0,252632.0,26461.0,16.733349930056665,0.449,1231.0,0.877
서울,구로구,395315.0,20.12291,19500.4118763489,-0.74,78377.0,277600.0,36428.0,19.82646750060079,0.643,1937.0,1.162
서울,금천구,229642.0,13.02053,17470.9510235207,-0.94,44531.0,166981.0,15969.0,19.39148761986048,0.559,963.0,0.944
서울,노원구,503734.0,35.43912,14058.2771774086,-1.1,96309.0,354052.0,47852.0,19.1190191648767,0.673,2091.0,1.057
서울,도봉구,311694.0,20.65101,14863.5829434008,-1.52,70374.0,211763.0,24811.0,22.577912953088607,0.518,971.0,0.956
서울,동대문구,336644.0,14.21591,23997.6861984277,1.34,66790.0,245256.0,29103.0,19.83994962037048,0.566,1359.0,0.909
서울,동작구,380596.0,16.35686,23156.5797375486,-0.48,70089.0,276137.0,32543.0,18.415590284711342,0.574,1695.0,0.974
서울,마포구,364638.0,23.85397,15246.8149143017,-0.26,57504.0,272888.0,33305.0,15.770161091274083,0.476,1571.0,0.892
서울,서대문구,306337.0,17.62632,17373.5073458328,-0.03,57588.0,220431.0,28212.0,18.798904474483983,0.57,1301.0,0.938
서울,서초구,404325.0,46.96596,8679.9889143538,0.83,65541.0,291616.0,50507.0,16.209979595622332,0.553,1687.0,1.007
서울,성동구,281000.0,16.82015,16489.8063625952,-1.3,49260.0,202868.0,25233.0,17.530249110320284,0.639,1483.0,1.079
서울,성북구,430397.0,24.57792,17316.4385578378,-1.11,80232.0,304776.0,40594.0,18.64139387588668,0.588,1695.0,0.983
서울,송파구,658801.0,33.87658,19310.2756108019,-0.7,108643.0,473043.0,72480.0,16.491019291106117,0.543,2968.0,0.973
서울,양천구,440881.0,17.40604,25050.3852407047,-1.1,76126.0,311109.0,48793.0,17.26679081203318,0.533,1449.0,0.99
서울,영등포구,375675.0,24.55119,15265.8155230014,-0.23,65843.0,275467.0,33484.0,17.526585479470288,0.635,2163.0,0.999
서울,용산구,218650.0,21.86758,9747.3531750252,-2.51,39239.0,156429.0,17483.0,17.946032471987195,0.547,1012.0,1.008
서울,은평구,466746.0,29.71015,15710.7901657717,0.01,93565.0,332124.0,41081.0,20.04623499719333,0.515,1748.0,1.024
서울,종로구,141379.0,23.91322,5830.1217349926,-1.39,28500.0,100458.0,10459.0,20.158580835909152,0.406,396.0,0.729
서울,중구,120437.0,9.95995,12179.9840027268,0.73,25525.0,87259.0,8528.0,21.19365311324593,0.534,534.0,0.955
서울,중랑구,385318.0,18.49713,20660.2270169997,-0.82,78791.0,272709.0,30655.0,20.448305036359574,0.623,1762.0,0.991
세종,세종특별자치시,383591.0,464.96232,831.3039287253,0.76,42560.0,272526.0,71439.0,11.095150824706524,0.971,2761.0,1.435
울산,남구,310638.0,74.01962,4150.6833871366,-1.1,47347.0,225978.0,33907.0,15.241857081232816,0.731,1369.0,1.25
울산,동구,151711.0,36.07488,4221.4134939618,0.38,25291.0,106894.0,20102.0,16.670511696581,0.79,633.0,1.572
울산,북구,218670.0,157.35154,1375.7539153954,-1.0,23347.0,159551.0,33579.0,10.676818950930626,0.93,1264.0,1.572
울산,울주군,221512.0,758.377,288.7706236085,-1.14,40254.0,154520.0,24223.0,18.17237892303803,1.005,1082.0,1.526
울산,중구,208132.0,37.00403,5639.061764738,0.26,39470.0,145751.0,23447.0,18.963926738800374,0.655,734.0,1.189
인천,강화군,69803.0,411.40732,167.7291492576,-1.14,25691.0,38351.0,4963.0,36.80500838072862,1.043,240.0,0.991
인천,계양구,288856.0,45.56589,6150.7849707073,-2.97,47042.0,208758.0,24466.0,16.28562328634337,0.55,966.0,1.142
인천,남동구,506181.0,57.45341,8570.6841122791,-2.72,85478.0,353940.0,52997.0,16.886844824282225,0.592,1830.0,1.183
인천,동구,58999.0,7.24738,8207.3768259454,0.82,15240.0,39228.0,5014.0,25.830946287225206,0.775,232.0,1.221
인천,미추홀구,406004.0,24.83867,16345.2778432123,0.0,79880.0,287129.0,38986.0,19.674683008049183,0.659,1711.0,1.107
인천,부평구,489118.0,32.00541,15439.2026957743,1.03,87260.0,359137.0,47741.0,17.84027576167714,0.637,2172.0,1.139
인천,서구,589013.0,119.05659,5244.2118321574,6.0,77384.0,459071.0,87903.0,13.13791036870154,0.82,3629.0,1.384
인천,연수구,385796.0,56.19062,6983.6566282737,1.72,47731.0,287752.0,56933.0,12.37208265508196,0.734,1962.0,1.21
